slug,name,domain,prereq_slugs,description
python-basics,Python Basics,data-science,,"Syntax, variables, control flow and functions in Python."
python-data-structures,Python Data Structures,data-science,python-basics,"Lists, dicts, sets, tuples and comprehensions."
numpy-arrays,NumPy Arrays,data-science,python-data-structures,"Vectorised numeric computing with ndarrays and broadcasting."
pandas-dataframes,Pandas DataFrames,data-science,"python-data-structures,numpy-arrays","Loading, filtering, grouping and joining tabular data."
data-cleaning,Data Cleaning,data-science,pandas-dataframes,"Handling missing values, outliers, types and duplicates."
descriptive-statistics,Descriptive Statistics,data-science,,"Mean, median, spread, distributions and summary measures."
inferential-statistics,Inferential Statistics,data-science,descriptive-statistics,"Sampling, confidence intervals and hypothesis testing."
probability-basics,Probability Basics,data-science,,"Random variables, distributions and conditional probability."
data-visualization,Data Visualization,data-science,pandas-dataframes,"Charting distributions, relationships and trends effectively."
sql-basics,SQL Basics,data-science,,"SELECT, WHERE, ORDER BY and aggregate functions."
sql-joins,SQL Joins,data-science,sql-basics,"Inner, outer and self joins across relational tables."
sql-window-functions,SQL Window Functions,data-science,sql-joins,"Ranking, running totals and partitioned aggregates."
relational-modeling,Relational Data Modeling,data-science,sql-basics,"Normalisation, keys and schema design for analytics."
exploratory-data-analysis,Exploratory Data Analysis,data-science,"data-cleaning,data-visualization,descriptive-statistics","Systematically interrogating a dataset before modelling."
feature-engineering,Feature Engineering,data-science,"exploratory-data-analysis,pandas-dataframes","Encoding, scaling and constructing predictive features."
supervised-learning,Supervised Learning,data-science,"feature-engineering,inferential-statistics","Regression and classification with labelled data."
model-evaluation,Model Evaluation,data-science,supervised-learning,"Train/test splits, cross-validation, precision, recall and ROC."
unsupervised-learning,Unsupervised Learning,data-science,feature-engineering,"Clustering and dimensionality reduction."
scikit-learn,scikit-learn,data-science,"supervised-learning,numpy-arrays","Fitting, tuning and pipelining models with sklearn."
business-communication,Analytics Communication,data-science,data-visualization,"Turning analysis into decisions stakeholders act on."
dashboarding,Dashboarding,data-science,"data-visualization,sql-joins","Building interactive dashboards in BI tools."
html-basics,HTML Basics,web-dev,,"Document structure, semantic elements and forms."
css-basics,CSS Basics,web-dev,html-basics,"Selectors, the box model, colours and typography."
css-layout,CSS Layout,web-dev,css-basics,"Flexbox, grid and responsive layout techniques."
javascript-basics,JavaScript Basics,web-dev,,"Types, functions, control flow and the DOM."
javascript-async,Asynchronous JavaScript,web-dev,javascript-basics,"Promises, async/await and the event loop."
es6-modules,Modern JS and Modules,web-dev,javascript-basics,"Destructuring, modules, iterators and tooling."
typescript-basics,TypeScript Basics,web-dev,"javascript-basics,es6-modules","Static types, interfaces, generics and narrowing."
react-fundamentals,React Fundamentals,web-dev,"javascript-basics,es6-modules","Components, props, state and rendering."
react-hooks,React Hooks,web-dev,react-fundamentals,"useState, useEffect, custom hooks and effects discipline."
react-state-management,React State Management,web-dev,react-hooks,"Lifting state, context and external stores."
nextjs-routing,Next.js Routing,web-dev,react-hooks,"App router, layouts, server and client components."
rest-apis,REST APIs,web-dev,javascript-async,"HTTP verbs, status codes and designing endpoints."
nodejs-basics,Node.js Basics,web-dev,javascript-async,"Runtime, modules, filesystem and package management."
database-fundamentals,Database Fundamentals,web-dev,,"Tables, queries, indexes and transactions."
auth-sessions,Authentication and Sessions,web-dev,"rest-apis,database-fundamentals","Sessions, tokens, hashing and access control."
web-accessibility,Web Accessibility,web-dev,"html-basics,css-basics","Semantics, contrast, keyboard and screen-reader support."
git-version-control,Git and Version Control,web-dev,,"Commits, branches, merges and collaboration workflow."
testing-fundamentals,Testing Fundamentals,web-dev,javascript-basics,"Unit, integration and end-to-end testing practice."
deployment-basics,Deployment Basics,web-dev,"nodejs-basics,git-version-control","Builds, environment config and shipping to production."
